contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
4748000_2011_10_memphis_TN_Mayor_mayor_1,73881,2011,memphis city,Mayor,Tennessee,0,0.760758553138109,0.776561938029945,0.779222209981271,10,1,40.03295369139157,482288,47.6,52.4,32.2,63.6,6.2,1.9,15.318855123909364,13.086296724967934,none,0,0.7721809003831083,1,0,0,1,NA,1,0.30276068810297213,1,10
843000_2011_11_lakewood_CO_Mayor_mayor_1,29480,2011,lakewood city,Mayor,Colorado,1,0.595907853951715,0.590253255352019,0.644539590623009,11,1,64.76255088195387,113809,50,50,89.3,2.7,20.7,3.7,25.903048089342672,11.642276883663218,none,0,0.6102335666422477,1,0,0,1,NA,1,0.646117959557588,1,29
908000_2011_11_bridgeport_CT_Mayor_mayor_1,12218,2011,bridgeport city,Mayor,Connecticut,0,0.839265864683941,0.83196557553404,0.801479408236705,11,1,43.220986501400795,105722,48.3,51.7,49.8,35.9,36.7,3.9,11.556724239042016,11.568568286435614,none,0,0.8242369494848955,1,0,0,1,NA,1,0.5431209798534077,1,11
908420_2011_11_bristol_CT_Mayor_mayor_1,8798,2011,bristol city,Mayor,Connecticut,0,0.610111200275135,0.494990297413964,0.527785363189514,11,1,2.341441236644692,47331,48.8,51.2,90,5.1,9.5,2.3,18.588240265365194,10.764920750925564,none,0,0.5442956202928709,1,0,0,1,NA,1,0.6087232029075759,1,13
937000_2011_11_hartford_CT_City Council_synthetic at-large d_9,20142,2011,hartford city,City Council,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,1,3.9219670798618167,91628,48,52,35.1,39.8,42.4,2.9,21.98236346968176,11.425492180808464,none,0,0.906031120235734,0,0,0,0,1,1,0.7306504440619382,1,14
937000_2011_11_hartford_CT_Mayor_mayor_1,4066,2011,hartford city,Mayor,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,1,78.70270270270271,91628,48,52,35.1,39.8,42.4,2.9,4.437508185270878,11.425492180808464,none,0,0.906031120235734,1,0,0,1,1,1,0.4407435086616349,1,15
952000_2011_11_new haven_CT_Mayor_mayor_1,15462,2011,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,1,10.707122986349226,100051,47.5,52.5,48.6,36.5,26.3,5.3,15.454118399616195,11.513435334964427,none,0,0.8756116166085026,1,0,0,1,NA,1,0.6196836604227223,1,55
980000_2011_11_waterbury_CT_Mayor_mayor_1,16636,2011,waterbury city,Mayor,Connecticut,0,0.638029361942405,0.607515210811141,0.603778337531486,11,1,13.060832286200014,81281,46.6,53.4,62.6,23,30.1,2,20.467267873180695,11.305667565886232,none,0,0.6164409700950108,1,0,0,1,NA,1,0.5078119655539183,1,16
4419180_2012_11_cranston_RI_Mayor_mayor_1,27772,2012,cranston city,Mayor,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,100,64491,49.4,50.6,83.7,6.2,10.8,5.4,43.06337318385511,11.074280958164245,president,0,0.5746240467689313,1,1,0,1,1,1,0.7762827746066264,1,17
4733280_2012_11_hendersonville_TN_Mayor_mayor_1,14321,2012,hendersonville city,Mayor,Tennessee,0,0.303609562998073,0.285794246053957,0.347683406019258,11,1,10.425249633405487,37705,48.8,51.2,89,8,4.2,2.3,37.98170003978253,10.537547990636748,president,0,0.3123624050237626,1,1,0,1,NA,1,0.7206284806577785,1,18
4845000_2012_5_lubbock_TX_Mayor_mayor_1,19060,2012,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,30.713536201469044,176487,49.2,50.8,80.7,9,32.6,2.9,10.799662298072946,12.081002498251936,none,0,0.34665769847743394,1,0,0,1,NA,1,0.627430738168464,1,56
550450_2012_11_north little rock_AR_Mayor_mayor_1,13816,2012,north little rock city,Mayor,Arkansas,0,0.636007084399959,0.601118037004057,0.63039963039963,11,0,9.467284308048638,46763,48.3,51.7,57.6,41.4,6.2,0.8,29.54472553086842,10.752847570927493,president,0,0.6225082506012153,1,1,0,1,NA,1,0.5099323305583757,1,19
648354_2012_2_modesto_CA_Mayor_mayor_1,27693,2012,modesto city,Mayor,California,1,0.539128488285331,0.531079175447214,0.540530956714971,2,1,12.40385657025241,146935,48.1,51.9,78.3,5.4,36.5,8.8,18.847109266001976,11.897745591101105,none,0,0.5369128734825053,1,0,0,1,NA,1,0.8546573475888389,1,53
660466_2012_11_rialto_CA_City Council_synthetic at-large a_2,30420,2012,rialto city,City Council,California,1,0.736879714172291,0.774634680003126,0.718330405787609,11,1,6.133569889747814,66141,49.9,50.1,62.7,16.4,69,3.8,45.99265206150497,11.09954410586509,president,0,0.7432815999876753,0,1,0,0,1,1,0.9172966287031908,1,61
