contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
2634000_2015_8_grand rapids_MI_Mayor_mayor_1,20016,2015,grand rapids city,Mayor,Michigan,1,192416,10.402461333776817
2674900_2015_11_southfield_MI_Mayor_mayor_1,12469,2015,southfield city,Mayor,Michigan,1,72859,17.11387748939733
2757220_2015_11_st. louis park_MN_Mayor_mayor_1,4320,2015,st. louis park city,Mayor,Minnesota,1,47043,9.183087813277215
3774440_2015_11_wilmington_NC_Mayor_mayor_1,5728,2015,wilmington city,Mayor,North Carolina,1,111998,5.114377042447186
3825700_2015_4_fargo_ND_Mayor_mayor_1,14464,2015,fargo city,Mayor,North Dakota,1,113464,12.747655644080941
3925256_2015_11_elyria_OH_Mayor_mayor_1,11355,2015,elyria city,Mayor,Ohio,0,54050,21.00832562442183
4263624_2015_11_reading_PA_Mayor_mayor_1,9430,2015,reading city,Mayor,Pennsylvania,0,88057,10.708972597294935
455000_2015_8_phoenix_AZ_Mayor_mayor_1,131103,2015,phoenix city,Mayor,Arizona,1,1514208,8.658189627845053
4550875_2015_11_north charleston_SC_Mayor_mayor_1,10568,2015,north charleston city,Mayor,South Carolina,0,104146,10.147293222975438
4748000_2015_10_memphis_TN_Mayor_mayor_1,101174,2015,memphis city,Mayor,Tennessee,0,657167,15.395477861791598
622230_2015_11_el monte_CA_Mayor_mayor_1,5024,2015,el monte city,Mayor,California,1,115711,4.34185168220826
648354_2015_11_modesto_CA_Mayor_mayor_1,23117,2015,modesto city,Mayor,California,1,207482,11.14168939956237
843000_2015_11_lakewood_CO_Mayor_mayor_1,40877,2015,lakewood city,Mayor,Colorado,1,147836,27.650234043128876
877290_2015_11_thornton_CO_Mayor_mayor_1,17882,2015,thornton city,Mayor,Colorado,1,127688,14.004448342835662
908000_2015_11_bridgeport_CT_Mayor_mayor_1,20736,2015,bridgeport city,Mayor,Connecticut,0,147340,14.073571331613955
937000_2015_11_hartford_CT_Mayor_mayor_1,9982,2015,hartford city,Mayor,Connecticut,0,124795,7.998717897351656
952000_2015_11_new haven_CT_Mayor_mayor_1,12140,2015,new haven city,Mayor,Connecticut,1,130612,9.29470492757174
980000_2015_11_waterbury_CT_Mayor_mayor_1,11510,2015,waterbury city,Mayor,Connecticut,0,109551,10.506522076475797
1840788_2015_11_lafayette_IN_City Council_synthetic at-large d_1,12822,2015,lafayette city,City Council,Indiana,0,70661,18.145794709953154
1973335_2015_11_sioux city_IA_City Council_synthetic at-large d_1,2483,2015,sioux city city,City Council,Iowa,1,82792,2.999082036911779
2545000_2015_11_new bedford_MA_City Council_synthetic at-large d_5,41872,2015,new bedford city,City Council,Massachusetts,0,94909,44.118049921503754
2757220_2015_11_st. louis park_MN_City Council_synthetic at-large d_1,7415,2015,st. louis park city,City Council,Minnesota,1,47043,15.762175031354293
3413690_2015_11_clifton_NJ_City Council_synthetic at-large d_1,7009,2015,clifton city,City Council,New Jersey,1,85552,8.192678137273237
3774440_2015_11_wilmington_NC_City Council_synthetic at-large d_3,18292,2015,wilmington city,City Council,North Carolina,1,111998,16.332434507759068
622230_2015_11_el monte_CA_City Council_synthetic at-large d_2,8410,2015,el monte city,City Council,California,1,115711,7.268107612932219
673262_2015_11_south san francisco_CA_City Council_synthetic at-large d_2,10992,2015,south san francisco city,City Council,California,1,66217,16.599966775903468
937000_2015_11_hartford_CT_City Council_synthetic at-large d_9,49290,2015,hartford city,City Council,Connecticut,0,124795,39.49677471052526
2603000_2016_11_ann arbor_MI_Mayor_mayor_1,48785,2016,ann arbor city,Mayor,Michigan,1,118087,41.31276093050039
2708794_2016_11_burnsville_MN_Mayor_mayor_1,22802,2016,burnsville city,Mayor,Minnesota,1,61158,37.28375682658033
2735180_2016_11_lakeville_MN_Mayor_mayor_1,28817,2016,lakeville city,Mayor,Minnesota,0,59786,48.20024754959355
2915670_2016_4_columbia_MO_Mayor_mayor_1,17650,2016,columbia city,Mayor,Missouri,1,117165,15.064225664660949
423620_2016_11_flagstaff_AZ_Mayor_mayor_1,26255,2016,flagstaff city,Mayor,Arizona,1,69270,37.90241085607045
427820_2016_8_glendale_AZ_Mayor_mayor_1,25939,2016,glendale city,Mayor,Arizona,1,239943,10.810484156653873
4419180_2016_11_cranston_RI_Mayor_mayor_1,35752,2016,cranston city,Mayor,Rhode Island,0,80882,44.20266561163176
4845000_2016_5_lubbock_TX_Mayor_mayor_1,21153,2016,lubbock city,Mayor,Texas,1,244507,8.651286057249894
5157000_2016_5_norfolk_VA_Mayor_mayor_1,31695,2016,norfolk city,Mayor,Virginia,1,245724,12.898617961615471
535710_2016_11_jonesboro_AR_Mayor_mayor_1,20272,2016,jonesboro city,Mayor,Arkansas,0,72638,27.908257385941244
550450_2016_11_north little rock_AR_Mayor_mayor_1,20126,2016,north little rock city,Mayor,Arkansas,0,66042,30.474546500711668
602252_2016_11_antioch_CA_Mayor_mayor_1,33348,2016,antioch city,Mayor,California,1,108675,30.68599033816425
622678_2016_11_encinitas_CA_Mayor_mayor_1,31353,2016,encinitas city,Mayor,California,1,62160,50.43918918918919
629504_2016_11_gilroy_CA_Mayor_mayor_1,17745,2016,gilroy city,Mayor,California,1,52576,33.7511412051126
636770_2016_11_irvine_CA_Mayor_mayor_1,79601,2016,irvine city,Mayor,California,1,246992,32.22816933341971
646898_2016_11_merced_CA_Mayor_mayor_1,21557,2016,merced city,Mayor,California,1,81461,26.462970010188926
648354_2016_2_modesto_CA_Mayor_mayor_1,26492,2016,modesto city,Mayor,California,1,208512,12.705263965623082
650258_2016_11_napa_CA_Mayor_mayor_1,27514,2016,napa city,Mayor,California,1,79567,34.57966242286375
655156_2016_11_palmdale_CA_Mayor_mayor_1,42020,2016,palmdale city,Mayor,California,1,156823,26.794539066335933
658072_2016_11_pomona_CA_Mayor_mayor_1,33861,2016,pomona city,Mayor,California,1,151807,22.30529553973137
